TITLE: Bill of Materials
BOM NO: 05-087156-01-b.csv
DATE: 01/27/2026
DESIGN: 02_087156b_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_087156b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_087156b,N/A,?,?,?,?,?,?,?
2,1,E040442,"IC-ADI 90MHZ, 22V/US 16BIT ACCURATE OPAMP"," LT1468CS8#PBF",SO8NB-5,N/A,N/A,?,A1,ANALOG DEVICES," LT1468CS8#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,2,E014794,IC-ADI SIMPLE SEQUENCER," ADM1085AKSZ",SC70-6,N/A,N/A,?,"A2,A3",ANALOG DEVICES," ADM1085AKSZ-REEL7",REL,N/A,N/A,N/A,N/A,1003528,?,?
4,7,E011865,CAP CER 0.1uF 50V 10% X7R 0603," 0.1uF",C0603,10,50V,N/A,"C1,C16,C17,C18,C59,C69,C70",AVX," 06035C104KAT2A",REL,A004-0012-032,N/A,N/A,1285_CAB3,N/A,?,?
5,1,E000412,CAP CER 39pF 50V 5% C0G 0603," 39pF",C0603,5,50V,N/A,C10,PHYCOMP (YAGEO)," 2238 867 15399",REL,ADD_TO_STOCK_#25,N/A,722030,N/A,7003134,?,?
6,2,E016319,CAP CER 10pF 50V 0.5pF C0G 0603 LOW ESR," 10pF",C0603,0.5pF,50V,N/A,"C11,C26",TDK," C1608C0G1H100D080AA",REL,N/A,N/A,N/A,N/A,7002454,?,?
7,5,E035949,CAP CER 10uF 25V 20% X5R 0603 AEC-Q200," 10uF",C0603,20,25V,N/A,"C12,C28,C34,C47,C48",MURATA," GRT188R61E106ME13D",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,13,E011547,CAP CER 0.1uF 16V 10% X7R 0603," 0.1uF",C0603,10,16V,N/A,"C13,C14,C43,C44,C45,C46,C49,C60,C62,C65,C66,C67,C68",KEMET," C0603C104K4RAC",REL,N/A,N/A,N/A,N/A,N/A,?,?
9,1,E061424,CAP CER 47UF 6.3V 20% X5R 0603," 47UF",C0603,20,6.3V,N/A,C15,MURATA," GRM188R60J476ME01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
10,3,E023087,CAP CER 1uF 50V 10% X7R 0603," 1uF",C0603,10,50V,N/A,"C19,C20,C31",TAIYO YUDEN," UMK107AB7105KA-T",REL,N/A,N/A,N/A,N/A,N/A,?,?
11,2,E013782,CAP CER 1000pF 50V 10% X8R 0603," 1000pF",C0603,10,50V,N/A,"C2,C3",TDK," C1608X8R1H102K080AA",REL,N/A,N/A,N/A,N/A,7002355,?,?
12,3,E026208,CAP CER 22pF 50V 5% X7R 0603," 22pF",C0603,5,50V,N/A,"C4,C5,C21",AVX CORPORATION," 06035C220JAT2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
